vueid PRIMARY,hmin,hmax,prob,modheight,modname,whratio
0,0.0,10.0,1.0,0.21,Oxalis_oregano_A001,6.0
1,1.0,10.0,1.0,1.09,Artemisia_californica_A001,1.73
2,0.75,1.0,1.0,0.95,Artemisia_californica_B001,1.76
3,0.5,0.75,1.0,0.84,Artemisia_californica_C001,1.62
4,0.0,0.5,1.0,0.7,Artemisia_californica_D001,1.66
5,0.5,3.5,0.5,0.65,Adenostoma_fasciculatum_A001,3.88
6,0.0,0.5,0.5,0.56,Adenostoma_fasciculatum_B001,3.38
7,0.5,10.0,0.5,0.75,Adenostoma_fasciculatum_C001,2.14
8,0.0,0.5,0.5,0.6,Adenostoma_fasciculatum_D001,2.08
9,1.0,10.0,1.0,0.82,Polystichum_munitum_A001,2.78
10,0.8,1.0,1.0,0.79,Polystichum_munitum_B001,2.44
11,0.0,0.8,1.0,0.71,Polystichum_munitum_C001,2.12
12,2.0,40.0,1.0,1.64,Arctostaphylos_manzanita_A001,1.59
13,1.0,2.0,1.0,1.44,Arctostaphylos_manzanita_B001,1.67
14,0.0,1.0,1.0,1.22,Arctostaphylos_manzanita_C001,1.55
15,1.5,90.0,1.0,1.48,Heteromeles_arbutifolia_A001,1.34
16,1.0,1.5,1.0,1.24,Heteromeles_arbutifolia_B001,1.33
17,0.0,1.0,1.0,0.91,Heteromeles_arbutifolia_C001,1.43
18,0.0,2.0,1.0,1.83,Toxicodendron_diversilobum_A001,0.35
19,2.0,3.0,1.0,2.35,Toxicodendron_diversilobum_B001,0.32
20,3.0,40.0,1.0,2.55,Toxicodendron_diversilobum_C001,0.3
21,3.0,10.0,1.0,3.73,Notholithocarpus_densiflorus_A001,1.52
22,0.0,3.0,1.0,2.59,Notholithocarpus_densiflorus_B001,1.47
23,10.0,20.0,1.0,7.53,Notholithocarpus_densiflorus_C001,0.69
24,20.0,100.0,1.0,8.04,Notholithocarpus_densiflorus_D001,1.03
25,20.0,100.0,1.0,16.5,Quercus_agrifolia_A001,1.03
26,4.0,20.0,1.0,13.4,Quercus_agrifolia_B001,1.06
27,20.0,100.0,1.0,21.1,Quercus_garryana_A001,0.96
28,5.0,20.0,1.0,17.2,Quercus_garryana_B001,1.05
29,25.0,100.0,1.0,19.4,Quercus_kelloggii_A001,1.52
30,5.0,25.0,1.0,14.4,Quercus_kelloggii_B001,1.33
31,15.0,100.0,1.0,9.14,Umbellularia_californica_A001,0.6
32,5.0,15.0,1.0,6.36,Umbellularia_californica_B001,0.96
33,0.0,5.0,1.0,3.39,Umbellularia_californica_C001,1.23
34,16.0,30.0,0.5,15.1,Arbutus_menziesii_A01,1.0
35,16.0,100.0,0.5,14.7,Arbutus_menziesii_B01,0.92
36,12.0,16.0,1.0,11.7,Arbutus_menziesii_C01,0.94
37,0.0,12.0,1.0,8.76,Arbutus_menziesii_D01,1.06
38,25.0,45.0,0.5,21.8,Pinus_sabiniana_A01,0.69
39,5.0,25.0,0.5,16.4,Pinus_sabiniana_A02,0.6
40,25.0,100.0,0.5,22.0,Pinus_sabiniana_B01,0.52
41,5.0,25.0,0.5,14.6,Pinus_sabiniana_B02,0.64
42,5.0,20.0,1.0,10.0,Pseudotsuga_menziesii_v2,0.36
43,20.0,100.0,1.0,15.1,Pseudotsuga_menziesii_v3,0.34
44,45.0,110.0,1.0,56.0,Giant_Sequoia_Adult,0.33
45,10.0,45.0,1.0,20.4,Sequoia_sempervirens_B,0.33
46,0.0,4.0,1.0,4.5,Quercus_Agrifolia_Young,1.66
47,0.0,5.0,1.0,4.0,Bishop_Pine_Young,0.66
48,0.0,10.0,1.0,14.5,Giant_Sequoia_Young,0.6
49,0.0,5.0,1.0,4.0,Douglas_Fir_Young,0.53
50,0.0,5.0,1.0,5.0,Sessile_Oak_Young,0.83
